YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1541,37.454,-0.0058,2.16,0.19,4.345,G,8.02,7.83,217.64,57.97,0.18,0.02,27.14,27.46,23.46,2.05,138.97,27.79,44.9,8.98,0.065,0.063
1542,37.4586,-0.0608,9.93,0.31,9.733,G,775.39,771,8710.27,1824.97,1.12,0.03,11.23,11.42,19.02,1.57,87.57,17.51,52.63,10.53,0.165,0.164
1543,37.4684,-0.1041,9.92,0.31,9.67,G,1143.64,193.07,23181.14,1448.82,0.52,0.02,20.27,3.65,22.06,0.78,120.99,24.2,49.17,9.83,1.136,0.192
1546,37.4974,0.5304,12.57,0.32,12.846,B,2231.93,183.95,91789.29,4673.44,0.54,0.01,41.13,3.98,26.26,0.48,181.71,36.34,49.99,10,2.036,0.168
1547,37.5225,0.7771,2.17,0.2,0.961,G,10.25,2.78,145.27,26.78,0.14,0.01,14.17,4.65,19.39,0.66,107.92,21.58,49.04,9.81,0.144,0.039
1548,37.5443,-0.1114,10.03,0.3,7.065,B,2204.83,196.93,134041.8,8018.45,0.55,0.02,60.79,6.54,25.67,0.48,279.13,55.83,65.61,13.12,1.946,0.174
1552,37.6392,-0.1055,2.16,0.18,0,N,31.77,6.3,1231.02,205.17,0.16,0.01,38.74,10.03,22.72,0.66,214.16,42.83,52.81,10.56,0.332,0.066
1555,37.6897,0.07,4.88,0.45,0,N,180.04,45.24,85.26,15.72,0.37,0.03,0.47,0.15,13.15,0.3,9.01,1.8,20.01,4,0.356,0.089
1556,37.6976,0.039,4.89,0.45,0,N,588.48,144.81,999.29,183.92,0.9,0.08,1.7,0.52,11.68,0.48,44.64,8.93,47.63,9.53,0.195,0.048
1557,37.7038,0.0313,4.89,0.46,0,N,187.71,55.12,1791.97,337.14,0.79,0.07,9.55,3.33,15.18,0.78,125.53,25.11,54.35,10.87,0.08,0.023
1558,37.7061,-0.4276,0.64,0.22,9.159,B,1.39,1.67,7.11,5.09,0.06,0.02,5.12,7.17,16.13,0.42,57.46,11.49,43.36,8.67,0.102,0.123
1559,37.7565,0.5602,2.23,0.24,10.844,B,48.77,11.26,1386.95,298.54,0.19,0.02,28.44,8.98,21.58,0.54,173.87,34.77,48.83,9.77,0.357,0.082
1560,37.764,-0.2125,9.71,0.33,9.3,G,4549.36,579.15,32304.2,2195.75,0.42,0.01,7.1,1.02,19.27,1.03,63.49,12.7,48.51,9.7,6.726,0.856
1561,37.7742,0.3511,12.35,0.29,11.634,B,1084.11,1078.96,4469.25,918.16,1.71,0.04,4.12,4.19,14.4,0.66,61.35,12.27,48.65,9.73,0.098,0.098
1562,37.7799,0.1073,5.06,0.71,0,N,139.03,44.31,700.51,196.59,0.41,0.06,5.04,2.14,15.83,0.54,60.27,12.05,48.13,9.63,0.218,0.069
1563,37.8,-0.372,4.19,0.45,9.054,B,201.92,49,907.5,194.93,0.23,0.02,4.49,1.46,16.42,0.36,50.01,10,42.72,8.54,1.047,0.254
1564,37.8147,-0.379,4.21,0.44,9.096,B,495.6,104.32,2669.36,557.97,0.29,0.03,5.39,1.6,16.51,0.21,59.88,11.98,55.04,11.01,1.524,0.321
1565,37.8196,0.4133,12.29,0.3,12.205,B,1660.35,93.72,112208.84,5478.06,0.38,0.01,67.58,5.04,34.81,0.42,191.76,38.35,47.43,9.49,3.037,0.171
1566,37.8224,-0.3,2.17,0.2,9.686,B,45.62,10,293.81,54.16,0.18,0.02,6.44,1.84,17.14,0.48,63.97,12.79,44.5,8.9,0.369,0.081
1568,37.8607,0.1453,12.16,0.31,0,N,1332.27,131.31,8506.71,433.73,0.7,0.02,6.39,0.71,15.71,0.3,78.28,15.66,49.49,9.9,0.726,0.072
1569,37.8658,-0.6027,9.88,0.28,10.022,B,2790.25,279.77,70273.55,3983.12,0.83,0.02,25.19,2.9,22.34,0.66,146.47,29.29,55.75,11.15,1.075,0.108
