YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1153,30.0033,-0.2659,7.43,0.61,8.187,B,1726.85,327.18,8055.78,1322.75,0.49,0.04,4.67,1.17,15.59,0.24,59.87,11.97,45.59,9.12,1.886,0.357
1154,30.0233,-0.0429,6.7,1.49,8.976,B,110.71,120.19,11118.11,5422.01,0.51,0.11,100.42,119.52,36.44,3.56,236.91,47.38,42.53,8.51,0.112,0.122
1155,30.0243,0.1085,7.32,0.62,7.84,B,916.74,202.75,12669.02,2146.12,0.65,0.06,13.82,3.85,17.08,0.66,139.1,27.82,60.22,12.04,0.584,0.129
1156,30.0325,0.1079,7.31,0.62,7.829,B,1010.23,326.74,6279.24,1065.15,0.66,0.06,6.22,2.27,16.18,0.96,70.86,14.17,53.33,10.67,0.616,0.199
1158,30.067,0.0976,6,0.96,1,N,261.36,85.26,2995.92,958.69,0.4,0.06,11.46,5.24,18.62,0.34,95.11,19.02,44.64,8.93,0.443,0.145
1159,30.0955,0.0441,7.32,0.63,7.923,B,714.58,174.29,2504.42,431.09,0.63,0.05,3.5,1.05,14.34,0.48,53.44,10.69,49.33,9.87,0.485,0.118
1161,30.132,-0.6587,4.48,0.28,4.963,G,116.99,114.08,461.02,108.73,0.61,0.04,3.94,3.95,16,0.72,45.65,9.13,40.26,8.05,0.083,0.081
1162,30.1971,0.3085,13.5,0.35,14.156,B,2034.84,114.1,20209.16,1047.88,0.71,0.02,9.93,0.76,19.22,0.19,78.23,15.65,47.19,9.44,1.083,0.061
1163,30.2052,0.3275,4.32,0.3,10.287,B,49.81,49.91,852.42,207.56,0.61,0.04,17.11,17.65,20.45,1.27,115.53,23.11,44.96,8.99,0.036,0.036
1165,30.2118,0.4293,4.31,0.3,10.268,B,47,47.04,2997.91,730.53,0.31,0.02,63.79,65.72,25.2,0.72,290.07,58.01,49.91,9.98,0.127,0.127
1166,30.2192,-0.1786,7.32,0.63,6.748,G,548.93,111.75,21468.09,3695.33,0.26,0.02,39.11,10.43,26.33,0.78,172.44,34.49,47.13,9.43,2.117,0.431
1168,30.2476,0.2455,4.72,0.35,9.445,B,282.4,282.43,3257.79,811.15,0.54,0.04,11.54,11.89,18.63,0.22,94.25,18.85,49.28,9.86,0.258,0.258
1169,30.2536,0.0534,4.33,0.29,10.203,B,227.61,36.01,10040.78,1344.95,0.28,0.02,44.11,9.14,23.49,0.66,231.72,46.34,51.97,10.39,0.802,0.127
1170,30.2969,0.0552,7.23,0.58,8.8,B,874.52,157.14,25231.35,4048.18,0.36,0.03,28.85,6.95,23.48,0.42,155.26,31.05,51.79,10.36,1.754,0.315
1172,30.3436,0.3798,6.16,1.45,8.898,B,69.1,75.89,1264.97,647.03,0.35,0.08,18.31,22.18,21.09,2.9,114.57,22.91,43.3,8.66,0.149,0.164
1173,30.3493,0.0903,7.12,1.24,8.712,B,2932.55,1377.38,12648.99,4405.83,1.01,0.18,4.31,2.52,13.75,0.85,73.8,14.76,54.86,10.97,0.763,0.358
1174,30.3517,0.5171,13.28,0.25,13.484,B,876.42,106.96,6647.06,250.27,0.52,0.01,7.58,0.97,17.9,0.42,69.2,13.84,44.54,8.91,0.866,0.106
1175,30.3569,0.4872,5.05,0.49,13.434,B,207.77,53.94,385.98,74.9,0.25,0.02,1.86,0.6,13.93,0.3,30.8,6.16,42,8.4,0.866,0.225
1177,30.3781,0.1089,7.19,0.58,0,N,231.08,79.58,10920.28,1761.83,0.75,0.06,47.26,17.97,26.17,1.93,200.23,40.05,49.55,9.91,0.11,0.038
1178,30.3818,-0.1094,4.79,0.37,9.304,B,1041.4,161.97,11728.59,1811.93,0.4,0.03,11.26,2.47,19.34,0.2,88.84,17.77,45.71,9.14,1.712,0.266
1182,30.4223,0.4669,11.95,0.7,13.509,G,1943.18,343.07,18708.71,2191.82,0.88,0.05,9.63,2.04,19.39,0.66,73.7,14.74,41.96,8.39,0.674,0.119
1186,30.4955,0.6228,4.84,0.38,9.217,B,43.41,43.5,369.88,94.05,0.58,0.05,8.52,8.81,17.19,0.6,83.58,16.72,46.95,9.39,0.035,0.035
1187,30.5062,-0.1979,4.89,0.42,8.889,B,223.6,224.5,4520,1191.67,0.7,0.06,20.21,20.98,20.99,1.03,129.78,25.96,45.92,9.18,0.123,0.123
1188,30.5337,0.0212,11.52,0.28,11.853,G,2466.3,206.87,212310.82,10320.66,0.86,0.02,86.08,8.35,28.4,0.78,322.77,64.55,59.58,11.92,0.879,0.074
1191,30.6247,0.1689,7.01,0.68,7.609,B,525.92,140.16,4629.1,898.09,0.49,0.05,8.8,2.9,19.09,0.78,69.47,13.89,41.7,8.34,0.578,0.154
1192,30.6412,-0.1154,7.19,0.63,0,N,652.4,144.2,9906.01,1735.96,0.6,0.05,15.18,4.28,19.21,0.72,117.99,23.6,48.2,9.64,0.485,0.107
1194,30.6561,0.2275,6.77,0.86,0,N,2135.81,571.17,1415.32,359.58,0.92,0.12,0.66,0.24,14.05,0.18,10.7,2.14,20.99,4.2,0.674,0.18
1195,30.6932,0.228,4.69,0.34,9.608,B,385.83,71.46,1114.22,161.55,0.3,0.02,2.89,0.68,15.89,0.42,34.78,6.96,38.11,7.62,1.127,0.209
1197,30.71,-0.5592,6.57,1.43,8.705,B,266.6,288.47,682.84,327.12,0.99,0.22,2.56,3.03,13.46,0.9,45.52,9.1,93.02,18.6,0.072,0.078
1198,30.7459,-0.8012,5.97,1.05,9.698,B,599,326.82,589.32,207.3,0.54,0.09,0.98,0.64,12.21,0.72,23.13,4.63,41.56,8.31,0.541,0.295
1201,30.7598,0.2052,5.88,0.76,6.265,G,826.43,225.86,29202.45,7548.93,0.41,0.05,35.34,13.29,22.23,0.66,208.82,41.76,56.19,11.24,1.34,0.366
1202,30.7643,-0.0343,5.92,0.76,5.864,G,520.84,526.18,9246.83,3009.47,0.87,0.11,17.75,18.84,24.85,1.51,81.72,16.34,30.38,6.08,0.182,0.184
1204,30.7799,0.2295,6.48,1.03,9.537,G,455.66,154.51,4164.8,1324,0.38,0.06,9.14,4.25,19.03,0.48,73.08,14.62,42.52,8.5,0.839,0.284
1207,30.8564,-0.5102,4.33,0.27,4.574,G,30.1,29.14,139.42,32.86,0.39,0.02,4.63,4.62,17,0.9,46.47,9.29,37.96,7.59,0.053,0.051
1208,30.8665,0.1139,2.06,0.09,8.485,B,123.51,12.6,10680.85,933.28,0.13,0.01,86.48,11.62,28.64,0.6,327.07,65.41,54.2,10.84,1.81,0.185
1209,30.8757,-0.3475,7.09,0.63,0,N,650.47,206.75,1755.36,311.95,0.92,0.08,2.7,0.98,14.81,0.72,37.35,7.47,40.53,8.11,0.206,0.065
1210,30.877,0.0584,6.38,1.16,8.658,B,1811.41,666.67,7095.94,2580.34,0.48,0.09,3.92,2.03,16.36,0.18,45.11,9.02,45.51,9.1,2.129,0.784
1211,30.8821,-0.2354,7.11,0.6,0,N,1078.28,331.46,1837.57,310.14,0.84,0.07,1.7,0.6,13.81,0.78,28.58,5.72,52.03,10.41,0.404,0.124
1215,30.9581,0.0866,2.06,0.09,11.825,B,109.57,13.33,2859.68,249.87,0.13,0.01,26.1,3.91,22.23,0.36,155.25,31.05,51.94,10.39,1.606,0.195
1216,30.9589,0.601,13.07,0.28,0,N,298.94,61.15,9087.88,389.38,0.61,0.01,30.4,6.35,21.05,1.21,195.6,39.12,81.97,16.39,0.216,0.044
1217,30.9725,0.5616,1.89,0.25,5.264,G,19.27,5.19,514.34,136.07,0.07,0.01,26.68,10.08,24.42,0.42,130.82,26.16,48.9,9.78,0.94,0.253
1218,30.997,-0.0759,4.66,0.35,9.597,B,455.09,75.71,5798.28,870.99,0.25,0.02,12.74,2.86,20.27,0.36,91.75,18.35,54.99,11,1.946,0.324
1219,31.0333,0.4668,4.65,0.34,9.607,B,197.4,51.7,926.91,135.55,0.4,0.03,4.7,1.41,16.42,0.85,51.36,10.27,47.67,9.53,0.332,0.087
1220,31.0478,0.355,9.69,0.48,9.749,G,2573.94,361.76,50018.63,4955.41,0.77,0.04,19.43,3.34,19.33,0.48,151.52,30.3,63.27,12.65,1.165,0.164
1221,31.0493,0.4701,2.05,0.08,9.622,B,31.41,5.52,179.52,14.01,0.06,0.002,5.71,1.1,19.15,1.03,46.73,9.35,37.96,7.59,2.319,0.408
1222,31.0595,0.0923,6.88,0.69,0,N,382.46,89.41,16487.04,3306.99,0.24,0.02,43.11,13.28,24.79,0.78,209.82,41.96,51.9,10.38,1.745,0.408
1223,31.0701,0.05,11.48,0.29,11.913,G,2221.48,321.45,66008.6,3334.93,1.31,0.03,29.71,4.55,20.82,1.09,195.08,39.02,54.69,10.94,0.344,0.05
1224,31.1218,0.0628,11.41,0.27,11.792,B,816.71,76.47,22290.77,1054.95,0.59,0.01,27.29,2.86,22.95,0.48,149.21,29.84,46.11,9.22,0.633,0.059
1225,31.1587,0.0457,2.06,0.09,11.84,B,94.29,11.12,1948.49,170.26,0.14,0.01,20.66,3.03,22.35,0.54,120.95,24.19,51.25,10.25,1.374,0.162
1226,31.208,0.0993,6.89,0.62,0,N,1786.38,389.72,3919.3,705.36,0.91,0.08,2.19,0.62,14.11,0.42,34.95,6.99,44.76,8.95,0.579,0.126
1227,31.242,-0.1295,4.55,0.32,0,N,71.01,17.94,751.5,105.71,0.19,0.01,10.58,3.06,18.74,0.96,86.85,17.37,44.72,8.94,0.541,0.137
1228,31.2424,-0.1102,4.56,0.33,9.626,B,366.18,57.73,51363.53,7434.2,0.2,0.01,140.27,30.02,33.02,0.72,427.31,85.46,51.97,10.39,2.539,0.4
1229,31.2603,0.4894,5.08,0.31,9.082,B,8.43,8.43,222.81,52.2,0.22,0.01,26.41,27.11,26.9,3.02,106.69,21.34,38.37,7.67,0.048,0.048
1230,31.2668,0.4958,5.12,0.31,0,N,44.04,15.87,727.71,88.12,0.61,0.04,16.52,6.28,23.37,1.99,85.42,17.08,38.91,7.78,0.031,0.011
1234,31.3027,-0.134,2.07,0.09,2.883,G,68.7,6.21,607.51,52.83,0.15,0.01,8.84,1.11,16.55,0.2,96.05,19.21,48.3,9.66,0.774,0.07
1237,31.3308,-0.1589,2.08,0.1,11.68,B,21.96,21.92,138.91,30.83,0.17,0.01,6.33,6.47,16.24,0.6,70.86,14.17,47.09,9.42,0.213,0.213
1238,31.3943,-0.2584,8.9,0.86,9.056,G,4613.54,909.63,261036.39,50447.48,0.76,0.07,56.58,15.62,28.4,0.54,218.63,43.73,63.39,12.68,2.097,0.413
1241,31.4128,0.0476,11.29,0.26,8.247,B,568.38,45.89,7231.55,333.07,0.72,0.02,12.72,1.18,18.66,0.3,104.56,20.91,47.04,9.41,0.288,0.023
1244,31.427,-0.1398,2.11,0.13,11.702,B,11.88,11.9,867.03,203.68,0.17,0.01,72.96,75.05,27.09,1.93,290.79,58.16,48.97,9.79,0.111,0.111
1247,31.4752,-0.3471,5.15,0.33,8.856,B,894.52,224.58,4574.59,586.26,0.84,0.05,5.11,1.44,13.52,0.6,90.58,18.12,53.74,10.75,0.336,0.084
1249,31.5534,-0.0968,5.05,0.33,9.151,B,1102.17,264.46,264.43,34.56,0.51,0.03,0.24,0.07,10.84,0.36,8.13,1.63,37.88,7.58,1.119,0.268
1251,31.5608,0.3761,2.08,0.16,12.725,B,20.37,3.64,765.17,117.72,0.12,0.01,37.57,8.86,22.29,0.66,215.62,43.12,52.47,10.49,0.361,0.065
1252,31.5667,-0.2706,6.36,0.94,8.092,B,329.22,339.13,8005.33,2857.11,0.63,0.09,24.32,26.51,20.33,0.96,166.76,33.35,49.12,9.82,0.223,0.23
1253,31.5745,0.2285,6.93,0.8,0,N,1178.05,402.93,335.69,77.5,0.87,0.1,0.28,0.12,12.09,0.72,6.88,1.38,18.4,3.68,0.418,0.143
1254,31.5792,0.0751,6.01,0.68,6.082,G,1798.2,412.94,57337.65,12974.91,0.32,0.04,31.89,10.28,29.83,0.48,120.86,24.17,44.86,8.97,4.716,1.083
1255,31.5919,-0.1928,2.11,0.13,11.568,B,21.8,3.21,643.82,79.33,0.07,0.004,29.54,5.67,25.08,0.54,139.31,27.86,46.27,9.25,1.323,0.195
1256,31.5926,0.3242,2.08,0.16,0,N,1.64,0.31,63.47,9.76,0.05,0.004,38.61,9.33,30.07,1.63,129.84,25.97,40.46,8.09,0.201,0.037
1257,31.5968,-0.3407,5.95,1.07,7.954,B,758.88,292.94,1623.04,583.75,0.67,0.12,2.14,1.13,13.22,0.36,40.34,8.07,51.04,10.21,0.451,0.174
1260,31.6429,-0.267,2.11,0.14,11.472,B,58.12,10.74,154.87,20.55,0.15,0.01,2.66,0.61,14.93,0.42,36.91,7.38,41.66,8.33,0.708,0.131
1261,31.6612,0.367,2.09,0.16,12.668,B,13.74,13.82,810.34,204.11,0.11,0.01,58.98,61.16,21.17,0.54,371.02,74.2,63.26,12.65,0.278,0.28
1262,31.6747,0.2394,6.32,0.82,8.641,B,811.43,254.86,1230.99,319.43,0.63,0.08,1.52,0.62,14.64,0.6,21.99,4.4,38.43,7.69,0.551,0.173
1265,31.7378,-0.1824,6.13,0.68,0,N,264.92,59.3,5122.48,1136.47,0.53,0.06,19.34,6.09,18.83,0.22,154.91,30.98,49.79,9.96,0.254,0.057
1267,31.7901,-0.306,6.56,0.78,0,N,173.86,47.01,2408.59,572.77,0.5,0.06,13.85,4.99,19.38,0.66,104.22,20.84,46.97,9.39,0.186,0.05
1269,31.8243,-0.1134,2.12,0.13,11.749,B,29.39,3.68,633.2,77.66,0.1,0.01,21.54,3.77,21.57,0.2,133.16,26.63,65.44,13.09,0.745,0.093
1271,31.8377,-0.1287,5.34,0.36,7.454,B,226.6,86.96,2361.14,318.36,0.45,0.03,10.42,4.24,16.67,0.9,109.97,21.99,67.76,13.55,0.301,0.116
1272,31.842,-0.1164,6.47,0.82,7.444,B,76.84,78.27,1490.14,481.14,0.41,0.05,19.39,20.72,22.17,1.81,112.39,22.48,52.03,10.41,0.125,0.127
1273,31.9134,0.1956,6.68,0.58,0,N,82.55,20.87,7242.66,1257.71,0.37,0.03,87.74,26.91,25.61,1.93,386.45,77.29,69.71,13.94,0.157,0.04
1274,31.916,0.44,2.09,0.16,0,N,33.37,5.19,269.03,41.19,0.12,0.01,8.06,1.76,16.88,0.2,83.34,16.67,49.22,9.84,0.578,0.09
1276,31.9853,-0.5574,4.33,0.31,0,N,34.69,17.05,632.21,90.52,0.53,0.04,18.23,9.33,15.35,1.45,232.52,46.5,127.44,25.49,0.032,0.016
1278,32.0302,0.0499,5.52,0.52,0,N,1046.35,390.95,2226.78,419.54,0.83,0.08,2.13,0.89,15.24,1.63,27.86,5.57,23.33,4.67,0.4,0.149
1280,32.0682,-0.0898,2.69,0.61,3.219,G,76.04,36.57,498.66,226.16,0.21,0.05,6.56,4.33,15.83,0.6,78.42,15.68,47.28,9.46,0.451,0.217
1281,32.1048,-0.3728,4.4,0.32,0,N,106.87,26.99,83.25,12.11,0.41,0.03,0.78,0.23,14.17,0.66,12.16,2.43,21.95,4.39,0.166,0.042
1283,32.1199,0.0909,6.12,0.75,8.111,B,743.23,187.78,29936.29,7337.33,0.33,0.04,40.28,14.18,28.05,0.6,157.91,31.58,47.78,9.56,1.819,0.46
1284,32.1314,-0.0916,2.1,0.17,2.782,G,24,21.7,286.74,73.78,0.19,0.02,11.95,11.23,18.31,0.72,101.31,20.26,46.1,9.22,0.175,0.158
1286,32.152,0.1314,5.48,0.47,0,N,1835.76,338.44,64172.56,11007.7,0.39,0.03,34.96,8.8,22.58,0.42,209.71,41.94,63.41,12.68,3.21,0.592
1287,32.1537,-0.2789,4.44,0.32,9.78,B,969.92,216.84,507.87,73.21,0.85,0.06,0.52,0.14,11.02,0.42,16.57,3.31,43.13,8.63,0.357,0.08
1288,32.2712,-0.2261,12.44,0.56,12.802,G,2410.35,280.95,84619.9,7618.51,1.04,0.05,35.11,5.17,21.69,0.54,213.74,42.75,58.23,11.65,0.594,0.069
1289,32.3057,0.3741,2.1,0.17,11.104,B,12.74,12.82,54.75,14.09,0.13,0.01,4.3,4.46,16.24,0.6,48.32,9.66,40.76,8.15,0.211,0.212
1290,32.3182,-0.3842,2.14,0.14,9.773,B,19.7,19.7,228.02,54.5,0.21,0.01,11.57,11.89,21.17,0.96,73.2,14.64,38.99,7.8,0.114,0.114
1291,32.3232,0.7808,2.09,0.17,1.715,G,30.15,22.26,16.34,2.66,0.3,0.02,0.54,0.41,13.34,0.6,9.81,1.96,20.66,4.13,0.091,0.067
1292,32.3275,0.2558,13.17,0.3,13.669,B,382.72,381.14,2751.47,564.39,0.99,0.02,7.19,7.31,18.34,0.22,60.81,12.16,40.23,8.05,0.103,0.103
1294,32.4042,0.1623,11.17,0.28,11.368,B,719.71,76.06,9121.88,457.32,0.63,0.02,12.67,1.48,18.8,0.42,103.1,20.62,56.87,11.37,0.48,0.051
1295,32.4224,0.0783,11.2,0.29,11.496,B,3424.5,432.5,20664.41,1070.12,1.02,0.03,6.03,0.82,15.71,0.36,74.24,14.85,52.08,10.42,0.879,0.111
1296,32.4369,0.4161,11.03,0.3,11.09,B,354.04,352.02,2950.97,611.63,0.68,0.02,8.34,8.47,18.44,0.78,69.53,13.91,42.42,8.48,0.207,0.206
1298,32.4582,0.3856,11.03,0.29,11.07,B,1374.34,134.36,6368.46,334.88,0.52,0.01,4.63,0.51,18.55,0.36,39.58,7.92,35.95,7.19,1.356,0.133
1299,32.4635,0.1941,10.99,0.27,11.023,B,752.35,305.44,7684.43,377.58,0.58,0.01,10.21,4.18,17.61,1.93,96.02,19.2,61.46,12.29,0.605,0.246
1301,32.4735,0.2056,2.25,0.26,3.291,G,157.92,37.22,2672.94,617.75,0.17,0.02,16.93,5.59,19.56,0.3,129.81,25.96,56.33,11.27,1.508,0.355
1303,32.5765,-0.6231,2.15,0.14,11.449,B,18.49,18.52,104.13,24.85,0.18,0.01,5.63,5.8,16.78,0.36,58.27,11.65,41.77,8.35,0.144,0.144
1304,32.578,0.4192,13.18,0.31,13.676,B,439.49,437.87,1491.81,306.5,0.85,0.02,3.39,3.45,15.36,0.36,43.66,8.73,42.55,8.51,0.16,0.159
1305,32.601,-0.2514,5.24,0.25,8.565,B,435,114.46,6112.79,583.28,0.56,0.03,14.05,3.93,16.83,0.96,145.32,29.06,69.23,13.85,0.365,0.096
1306,32.6105,-0.2409,5.23,0.25,0,N,17.51,2.34,4052.88,387.46,0.29,0.01,231.52,38.09,40,1.6,489.01,97.8,55.48,11.1,0.057,0.008
1307,32.6268,-0.102,2.15,0.14,11.964,B,25.51,25.59,157.39,37.56,0.2,0.01,6.17,6.36,15.83,0.96,73.23,14.65,45.65,9.13,0.176,0.177
1308,32.6324,-0.1309,6.5,0.61,0,N,268.71,112.49,1387.07,260.34,0.53,0.05,5.16,2.37,15.71,1.39,62.65,12.53,48.42,9.68,0.254,0.106
1309,32.6325,-0.6621,15.37,0.77,14.483,G,1126.07,1126.7,5392.95,1206.37,1.12,0.06,4.79,4.91,16.36,0.24,52.23,10.45,45.44,9.09,0.237,0.237
1310,32.6485,-0.6486,15.35,0.76,14.492,G,151.2,151.33,2517.63,561.86,0.86,0.04,16.65,17.07,20.64,0.85,109.99,22,46.79,9.36,0.054,0.054
1311,32.693,0.047,6.24,0.72,8.372,B,353.91,103,984.65,227.23,0.44,0.05,2.78,1.03,14.4,0.36,41.98,8.4,45.32,9.06,0.49,0.143
1313,32.7096,-0.0625,6.49,0.6,0,N,2355.36,440.37,4214.54,779.27,0.85,0.08,1.79,0.47,14.61,0.2,26.28,5.26,42.27,8.45,0.876,0.164
1315,32.7396,0.1944,12.92,0.3,12.987,B,3844.05,521.79,17995.53,835.71,0.79,0.02,4.68,0.67,16.18,0.36,54.66,10.93,52.37,10.47,1.623,0.22
1316,32.7457,-0.0734,11.32,0.43,11.772,G,5515.14,497.98,134401.3,10210.7,0.56,0.02,24.37,2.88,29.23,0.54,95.6,19.12,41.84,8.37,4.746,0.429
1317,32.7484,-0.0637,11.35,0.45,11.757,G,859.2,112.38,38928.02,3086.8,0.24,0.01,45.31,6.93,32.03,0.72,150.24,30.05,49.23,9.85,4.007,0.524
1318,32.7693,-0.1828,5.14,0.27,9.205,B,582.53,63.01,1070.98,112.52,0.37,0.02,1.84,0.28,14.89,0.2,25.91,5.18,35.59,7.12,1.127,0.122
1319,32.7729,-0.0592,2.15,0.14,11.681,B,60.1,10.08,129.56,16.87,0.14,0.01,2.16,0.46,15.06,0.3,29.35,5.87,37.48,7.5,0.813,0.136
1323,32.7964,0.1889,13.02,0.3,13.204,G,15699.07,1044.31,1115292.59,51395.97,1.06,0.02,71.04,5.75,32.27,0.78,230.96,46.19,56.72,11.34,3.687,0.245
1326,32.8599,-0.4105,2.18,0.2,11.071,B,109.22,23.91,233.14,42.78,0.2,0.02,2.13,0.61,15.06,0.48,28.99,5.8,39.43,7.89,0.714,0.156
