YB,l,b,Vel,Dist,e_Dist
1216,30.95892631,0.600970713,22.4,13.07,0.28
1217,30.97248474,0.561558276,23.1,13.04,0.29
1218,30.99697592,-0.075862584,81.7,4.66,0.35
1219,31.03331145,0.466844554,79.8,4.65,0.34
1220,31.04781433,0.355024927,77.2,4.56,0.33
1221,31.04929695,0.4700916,32.4,2.05,0.08
1222,31.05952971,0.092260837,104.5,6.88,0.69
1223,31.07007295,0.049951189,38.4,2.06,0.09
1224,31.12179761,0.062772624,42,11.41,0.27
1225,31.15869874,0.045727067,38.8,2.06,0.09
1226,31.20797675,0.099298951,107.2,6.89,0.62
1227,31.24203077,-0.129452765,78.1,4.55,0.32
1228,31.24237579,-0.11016159,78.3,4.56,0.33
1229,31.26026463,0.489371958,88.1,5.08,0.31
1230,31.26682376,0.495799529,89.4,5.12,0.31
1231,31.26955289,0.064279303,107,6.88,0.62
1232,31.27786475,0.064277411,107.4,6.89,0.61
1233,31.29964957,-0.131462114,43,11.29,0.24
1234,31.3027423,-0.134010068,43.2,11.29,0.24
1235,31.30648205,-0.136195122,79.4,4.61,0.35
1236,31.31093153,0.531892904,0,0,0
1237,31.33080333,-0.158888004,41.5,2.08,0.1
1238,31.39427863,-0.258389021,87.5,5.02,0.36
1239,31.40910293,0.308457799,96.4,6.03,0.79
1240,31.40911678,0.305022752,96.4,6.03,0.79
1241,31.4128379,0.047567004,45.6,11.29,0.26
1242,31.41372642,0.310076118,96.4,6.03,0.79
1243,31.42025795,-0.157968975,0,0,0
1244,31.42702291,-0.139810322,41.1,2.11,0.13
1245,31.4309394,0.288041834,97.4,6.11,0.8
1246,31.44630805,0.768070696,0,0,0
1247,31.47518294,-0.347116888,90.4,5.15,0.33
1248,31.5082403,-0.245358592,0,0,0
1249,31.55336099,-0.096795547,86,5.05,0.33
1250,31.55909602,-0.123263656,77.9,4.6,0.36
1251,31.56075128,0.376050928,24.3,2.08,0.16
1252,31.56666906,-0.270574412,98.5,6.36,0.94
1253,31.5745008,0.228474714,116.4,6.93,0.8
1254,31.57921796,0.075147204,96,6.15,0.85
1255,31.59186438,-0.192752252,42.6,2.11,0.13
1256,31.59262189,0.324217354,24.1,2.08,0.16
